Topic,Count,Name,Avg_Sentiment
110,108,110_scam_scams_scammers_fraud,-0.24
111,106,111_cannabis_marijuana_weed_thc,-0.21
112,106,112_smoking_tobacco_air_cancer,-0.36
113,105,113_packaging_recyclable_amazonhelp_amazonuk,-0.01
114,105,114_dnc_candidates_tomperez_climatedebate,0.21
115,103,115_jayinslee_inslee_jay_presidential,-0.68
116,99,116_illusion_oneself_redistribute_facto,-0.1
117,98,117_pope_francis_vatican_catholic,-0.2
118,97,118_prenatal_babies_unborn_birth,0.28
119,97,119_wine_wines_winery_vineyards,-0.34
120,96,120_farts_cow_fart_cows,-0.45
121,95,121_fossil_fuels_fuel_divest,-0.48
122,94,122_costa_rica_costarica_panama,0.1
123,92,123_hottest_record_warmest_recorded,0.21
124,91,124_prayers_pray_praying_prayer,-0.24
125,90,125_noise_horns_headphones_loud,0.11
126,89,126_mental_anxiety_health_toll,0.38
127,89,127_transit_ridership_congestion_public,0.14
128,87,128_investors_finance_assets_investment,-0.27
129,86,129_earthhour_lights_shine_hour,-0.12
130,84,130_bernie_berniesanders_sanders_bernie2020,0.21
131,83,131_burger_less_burgers_impossible,-0.52
132,83,132_koch_brothers_bros_industries,-0.22
133,83,133_ink_paperless_print_paper,0.5
134,82,134_cyber_cybersecurity_cyberattacks_attacks,-0.19
135,82,135_callforcode_unhumanrights_redcross_code,-0.32
136,81,136_transportation_sector_transport_transit,-0.12
137,78,137_ozone_layer_hole_depletion,-0.38
138,78,138_fsu_evening_cloudy_chance,-0.33
139,77,139_podcast_podcasts_itunes_episode,0.05
140,77,140_nigeria_lagos_harcourt_niger,0.2
141,77,141_pelosi_nancy_committee_announces,-0.36
142,76,142_resist_thedemocrats_trumprussia_muellertime,0.21
143,76,143_rock_ain_noise_roll,0.12
144,75,144_amazon_rainforest_oxygen_indigenous,0.37
145,74,145_sanitation_hunger_gender_partnerships,-0.32
146,73,146_unfccc_bonn_un_retweeted,0.07
147,72,147_cleanfox_cleanfoxapp_inbox_greentech,0.26
148,72,148_mozambique_zimbabwe_cycloneidai_idai,0.16
149,71,149_wood_pellets_biomass_pellet,-0.61
150,71,150_iot_smartcities_autonomouscar_telematics,0.01
151,71,151_diesel_cars_petrol_car,-0.47
152,70,152_friendly_debate_latest_environment,0.17
153,70,153_beer_brewing_craft_brewery,-0.5
154,70,154_boards_resolutions_thx_school,0.57
155,69,155_tag_wwe_hasbro_wrestling,-0.31
156,67,156_states_2018candidatespledge_eldersclimate_state,-0.09
157,65,157_christmas_merry_santa_xmas,-0.44
158,65,158_kamalaharris_kamala_harris_70785,-0.19
159,64,159_lawns_lawn_grass_mowing,-0.63
160,64,160_military_security_dod_threat,0.34
161,64,161_5c_3c_2c_ipcc,-0.43
162,64,162_globalwarmingisreal_uspolitics_climatemayors_climatechangeisreal,-0.02
163,63,163_art_artists_artist_arts,0.15
164,63,164_pension_divest_mps_financing,0.48
165,62,165_cnn_cnnpolitics_cnnopinion_wails,-0.35
166,62,166_expos_awaits_fascinating_frame,-0.13
167,61,167_haiti_haitians_haitian_reeling,-0.41
168,59,168_refugees_asylum_refugee_fleeing,0.21
169,59,169_renewable_renewables_transition_energy,-0.23
170,58,170_immunity_secrecy_meaning_tragedy,-0.21
171,58,171_millennials_generation_boomers_boomer,-0.15
172,58,172_movies_films_supernatural_movie,0.28
173,58,173_cpc_hq_scheer_credible,-0.38
174,57,174_biodiesel_biofuels_biofuel_diesel,-0.39
175,57,175_nj_regional_rejoin_jersey,0.22
176,56,176_gmo_gmos_glyphosate_monsanto,0.66
177,56,177_skin_serum_skincare_cream,-0.49
178,56,178_sweden_2045_pledges_vows,-0.06
179,56,179_attenborough_david_sir_davidattenborough,0.01
180,55,180_levy_evokes_pay_fury,0.31
181,55,181_business_prepare_catastrophes_businesscontinuity,0.52
182,55,182_universities_students_umontana_americaspledge,0.61
183,54,183_irs_aid_relief_bill,-0.24
184,53,184_dementia_brain_cognitive_alzheimer,0.18
185,52,185_een_het_van_je,-0.0
186,52,186_kavanaugh_brett_supreme_court,-0.24
187,52,187_bags_bag_plastic_ban,-0.48
188,51,188_un_antonioguterres_undeniable_antnio,0.22
189,51,189_cop24_cop23_cop25_parisagreement,-0.18
190,51,190_cortez_ocasio_alexandria_audacious,-0.37
191,51,191_colombia_colombian_ipbes6_luisgmurillo,-0.58
192,50,192_naturalgas_natgas_relied_boom,0.03
193,50,193_ivanka_hillary_clinton_ive,-0.25
194,49,194_rail_train_trains_travel,-0.27
195,49,195_data_pulse_bigdata_challenge,-0.65
196,49,196_heat_waves_kills_extreme,-0.14
197,49,197_rebellion_extinction_extinctionrebellion_xr,-0.19
198,48,198_miami_stupendous_florida_reversal,-0.1
199,48,199_pollution_nebulous_hpe_pouring,-0.43
200,48,200_luigidimaio_dalla_danilotoninelli_mitgov,-0.04
201,48,201_hartnett_kathleen_white_advisor,0.26
202,47,202_geoengineering_ofglobal_geoengineered_srm,0.26
203,47,203_humam_khalil_monitoring_paraguay,-0.57
204,47,204_protectcpp_cleanpowerplan_clean_power,0.08
205,47,205_occupy2decolonize_runningwolf_mayor_elected,0.16
206,47,206_refugees_refugee_migrants_migrant,0.28
207,46,207_mother_earth_beings_plague,-0.58
208,46,208_costs_cost_putapriceonit_cheapest,-0.52
209,46,209_bags_bag_plastic_reusable,-0.55
210,46,210_nigeria_nigerians_nigerian_god,0.15
211,46,211_cancels_verifying_quietly_nasa,0.34
212,45,212_greens_mariansmedley_vote_greennewdeal,0.26
213,45,213_makingenvirnews_appearing_item_pop,0.29
214,44,214_wirth_ride_timothy_theory,-0.55
215,44,215_risks_extreme_wef_failure,-0.2
216,44,216_poetry_poem_poems_prose,-0.51
217,43,217_campus_ubc_university_campuses,-0.13
218,43,218_petition_sign_signatures_name,-0.4
219,43,219_peat_wetlands_peatland_peatlands,-0.06
220,42,220_rights_human_humanrights_lynch,-0.04
221,42,221_real_hahahhaha_warming_believing,-0.33
222,42,222_film_sequel_movie_inconvenient,0.19
223,41,223_centers_data_smartphone_mobile,0.22
224,41,224_ptsd_traumatic_stress_sexual,0.06
225,41,225_lookup_wedonotconsent_opstopchemtrails_silentwarfare,-0.05
226,41,226_noise_mosque_loudspeakers_churches,0.21
227,41,227_housing_zoning_affordability_sprawl,0.15
228,41,228_bcpoli_bc_bcndp_cleanbc,-0.34
229,40,229_mangrove_mangroves_climatenobel_wetlands,-0.2
230,40,230_multicellular_value_ecosystem_ethicallykate,-0.55
231,40,231_seuil_moyenne_24h_particules,-0.34
232,39,232_biophysically_constrained_rna_latency,-0.09
233,39,233_energy_symposium_pjm_policy,0.47
234,39,234_refrigeration_refrigerants_hfcs_conditioning,-0.59
235,39,235_colorado_govofco_copolitics_coleg,0.04
236,39,236_seaweed_cows_burps_feeding,0.13
237,39,237_roblox_liked_mm2_survival,-0.03
238,38,238_apple_iphone_shareholder_suppliers,-0.39
239,38,239_yang_ikan_di_buah,0.25
240,37,240_ski_skiarealaw_recreationlaw_saveyourseason,0.15
241,37,241_meme_classic_movie_ernestzorro,0.23
242,37,242_koalas_koala_habitat_po,-0.42
243,37,243_san_franciscos_francisco_transportation,0.11
244,37,244_turtles_turtle_sea_nesting,-0.57
245,36,245_kingdoms_angels_fallen_famine,0.01
246,36,246_volcanoes_eruption_volcano_volcanic,-0.06
247,36,247_harvey_hurricane_irma_harveys,-0.42
248,36,248_beans_beef_barack_goals,-0.01
249,36,249_blackrock_fink_larry_fidelity,0.23
250,36,250_wehearttruth_meteorologists_connections_covering,-0.23
251,36,251_alcohol_alcoholawareness_harms_carcinogen,-0.36
252,36,252_utah_utahs_utahns_sltrib,0.46
253,35,253_drones_drone_dji_ibm,0.86
254,35,254_california_greenin_vogel_berkeleyhaas,0.11
255,35,255_buildings_baie_consume_account,-0.35
256,35,256_dinosaurs_dinosaur_asteroid_permian,-0.23
257,35,257_sdg13_sdgs_sdg_13,0.01
258,35,258_cuomo_nygovcuomo_governor_ny,-0.64
259,34,259_unicef_educannotwait_displacement_educationcannotwait,-0.09
260,34,260_lazy_corporations_pollution_consumerism,0.33
261,34,261_cityofnewhaven_nhregister_newhavenindy_notice,-0.11
262,34,262_chefjoseandres_wckitchen_chef_meals,-0.54
263,34,263_antarctic_antarctica_ausfos17_jaszzyjas,-0.02
264,34,264_drilling_drill_arctic_reckless,-0.37
265,34,265_cyclones_reduced_greening_widespread,0.11
266,34,266_eia_sciencematters_certainty_virtual,-0.35
267,34,267_etsyspecialt_specialtoo_specialtgif_rescuedofferings,-0.54
268,33,268_young_adults_nbminor_veron,-0.31
269,33,269_drought_droughts_palace_xd,0.43
270,32,270_expel_mafia_permeated_corrupted,-0.15
271,32,271_bp_plc_afterall_dudley,-0.19
272,32,272_jail_prisoners_prison_duty,-0.74
273,32,273_nixon_1970_act_signed,-0.32
274,32,274_deaths_air_airpollution_annually,0.41
275,32,275_salamander_amphibian_photooftheday_amphibians,-0.06
276,32,276_ethanol_gasoline_usda_corn,-0.64
277,31,277_shell_halve_2050_vows,-0.01
278,31,278_1931_deaths_quadrupled_population,-0.6
279,31,279_ferc_circuit_pipeline_pipelines,-0.41
280,31,280_lego_toys_toy_swap,-0.02
281,31,281_hemp_industrialhemp_hempcrete_crude,0.02
282,30,282_tillerson_rex_exxon_secretary,0.32
283,30,283_drvox_criticizing_urgency_energyatpenn,-0.41
284,30,284_satellite_ghgsat_satellites_millimeter,0.19
285,30,285_fungi_mushrooms_fungus_mushroom,-0.5
286,30,286_dividend_fee_763_dividends,0.54
287,30,287_drone_drones_delivery_boulder,-0.5
288,30,288_00pm_no2_measured_low,0.21
289,29,289_tree_climateaction_proverb_roots,-0.53
290,29,290_illustrations_heritage_library_wondrous,-0.55
291,29,291_summit_nations_ambition_united,-0.31
292,29,292_protesters_bridges_london_protests,-0.46
293,29,293_hydropower_reservoirs_dams_dam,-0.56
294,29,294_epa_chief_trump_hurries,-0.08
295,29,295_moore_patrick_fake_founder,0.13
296,29,296_yoururbanair_airquality_cleanair_index,0.31
297,29,297_gap_widen_npr_income,0.12
298,29,298_wolves_wolf_elephants_position,0.75
299,28,299_sand_beach_bury_heads,0.39
300,28,300_transgender_nenshi_increase_inside,-0.22
301,28,301_unions_union_movements_actionbut,-0.51
302,28,302_consensus_97_osuus_olisi,-0.06
303,28,303_game_simcity_games_sims,-0.46
304,28,304_livestock_ranch_grazing_jabronisout,-0.08
305,28,305_displaced_internally_million_conflict,0.03
306,28,306_leadonclimate_climatereality_training_corps,-0.39
307,28,307_indoor_air_outdoor_asthmalog,-0.6
308,27,308_buses_electric_bus_nct,-0.53
309,27,309_castt_gwar_gir_inventory,-0.1
310,27,310_wheeler_andrew_lobbyist_epa,0.14
311,27,311_pentagon_security_bases_threat,-0.02
312,27,312_debt_imf_eurozone_deferred,-0.22
313,27,313_regulations_regulation_donny_pollutingpruitt,0.42
314,27,314_chocolate_cocoa_hershey_hersheycompany,0.06
315,27,315_neptune_mcsuk_space_verse,0.14
316,27,316_banks_bank_financing_fossil,-0.12
317,27,317_shrimp_seafood_fish_lobster,0.31
318,27,318_lifechanging_aid_innovation_security,-0.09
319,27,319_bangladesh_pakistan_dystopic_anticipates,-0.03
320,27,320_hawaii_hawaiis_eruption_volcano,-0.33
321,27,321_golf_golfing_golfed_realdonaldtrump,0.14
322,26,322_mask_masks_dustproof_activated,0.05
323,26,323_withstand_benchmarkpub_power_construction,-0.51
324,26,324_inequality_darrenwalker_thisisplace_address,0.04
325,26,325_jane_arrested_fonda_janefonda,0.03
326,26,326_der_und_auf_eine,0.03
327,26,327_cruise_ships_ship_helena,-0.07
328,26,328_primates_gorilla_gorillas_primate,-0.01
329,25,329_efficiency_energy_greenhouses_vol,-0.27
330,25,330_narrative_evidence_proof_reesemcardlepgh,0.12
331,25,331_steep_industrialized_consistently_structural,0.43
332,25,332_myths_warning_contain_signs,-0.22
333,25,333_israel_gaza_palestinian_idf,-0.24
334,25,334_shell_1998_someday_sued,-0.29
335,25,335_war_undone_world_hunger,-0.24
336,25,336_terrorism_chat_worry_threats,-0.42
337,24,337_ignore_science_behind_do,0.1
338,24,338_streaming_music_fuelchange_anthem,-0.33
339,24,339_bangkok_bangkoksmog_dust_thailand,-0.24
340,24,340_schwarzenegger_arnold_muscleman_austrian,0.05
341,24,341_microbiome_gut_microbial_bacterial,0.06
342,24,342_evangelicals_evangelical_yecaction_young,0.28
343,24,343_murdoch_mragilligan_rupert_tabloids,-0.15
344,24,344_teachers_schoolkids_striking_teach,0.08
345,24,345_steamdrills_5star_riverasunauthor_inspiration,0.23
346,24,346_carpool_carpooling_commute_ucnz,-0.63
347,24,347_media_twitter_socialmedia_social,-0.19
348,24,348_nofossilfuelmoney_congress_pledge_heed,0.17
349,24,349_manors_wilton_adaptation_plan,-0.08
350,24,350_norway_960_fund_sovereign,-0.24
351,24,351_penguins_penguin_emperor_king,0.11
352,24,352_republicans_deg_believe_bnick,-0.66
353,24,353_circular_circulareconomy_economy_reuse,-0.0
354,24,354_rahim_percapita_sa_unknown,0.08
355,23,355_flint_drinking_water_poisoned,0.29
356,23,356_lbs_diverting_metals_arsenic,-0.47
357,23,357_resilience_resilient_jica_unops,-0.15
358,23,358_pepsico_cocacola_pepsi_cocacolaco,-0.36
359,23,359_brown_jerry_summit_host,-0.54
360,23,360_compensation_framework_loss_elezaun,0.32
361,23,361_cure_joe_truths_jamesmurphypdx,0.35
362,23,362_revier_climate2020_stephan_biden,-0.47
363,23,363_fireworks_illegal_tradition_air,0.21
364,23,364_grants_grant_keller_awarded,-0.17
365,23,365_wolf_pennsylvania_gov_tom,0.61
366,23,366_gaga_artist_lady_interesting,0.05
367,23,367_chase_defundtarsands_shutdownchase_defundclimatechange,-0.27
368,23,368_bacteria_microbes_methane_beneath,0.1
369,23,369_caribbean_caricom_caricomorg_resilientcaribbean,-0.13
370,23,370_tellitlikeitreallyis_februdairy_sector_livestock,-0.4
371,23,371_cape_town_capetown_south,-0.76
372,22,372_chemtrails_spraying_aerosols_layers,-0.52
373,22,373_wastelaying_debt_contaminating_borrowed,-0.37
374,22,374_insurance_insurer_reinsurance_insurers,0.6
375,22,375_givingtuesday_donate_gift_donation,0.26
376,22,376_she_shes_genius_her,-0.46
377,22,377_furious_anticipated_combine_convulsive,-0.2
378,22,378_tps_temporary_status_fleeing,-0.48
379,22,379_wildlife_popnmatterss_fertility_animals,0.13
380,22,380_mining_miningwithprinciples_uq_minerals,0.22
381,22,381_dow_jones_index_indices,-0.02
382,21,382_lakes_lake_bsteffen_great,0.48
383,21,383_weigh_16_leaders_ways,0.31
384,21,384_smart_cities_smartcity_smartcities,-0.15
385,21,385_justice_majors_moral_marknuclearman,-0.52
386,21,386_alerts_phone_alert_opt,-0.04
387,21,387_africa_businessday_african_closer,-0.38
388,21,388_mercury_minamata_portovelo_tatiuska,-0.1
389,21,389_military_defense_portugal_than,0.25
390,21,390_sarcasm_confuse_conservatives_liberals,-0.33
391,21,391_g7_commit_six_g6,0.26
392,21,392_plastics_plastic_portsmouthuni_nrel,-0.59
393,21,393_stingemore_ipbes_unbiodiversity_esa,-0.4
394,21,394_nabhan_hedging_insecurity_gary,0.18
395,21,395_salvaged_mecca_eb_umrah,-0.23
396,21,396_cancer_smoking_determinants_malaria,0.23
397,21,397_heatwave_june_europe_france,0.28
398,21,398_plastic_sempervigilius_isn_has,-0.46
399,21,399_tiger_sumatran_pandas_tigers,-0.01
400,20,400_epa_idaho_ktvb_minnesotaminers,-0.52
401,20,401_cleanseas_signup_security_forum,-0.13
402,20,402_snow_snowstorm_fake_lossr,-0.2
403,20,403_bats_bat_mossom_cechr,-0.09
404,20,404_skype_abfortisetliber_yuvalpi_thruthseeker12,-0.3
405,20,405_gina_mccarthy_administrator_former,-0.43
406,20,406_superpower_suppose_treating_equally,0.2
407,20,407_beavers_beaver_restorationag_rewildingb,0.26
408,20,408_gates_billgates_bill_melindagates,-0.09
409,20,409_madagascar_lemur_lemurs_madagascars,-0.2
410,20,410_stepup18_investors_sciencetargets_01pm,-0.24
411,20,411_mayors_convene_rallies_cities,0.41
412,20,412_sunrise_movement_sunrisemvmt_young,-0.65
413,20,413_521_gwh_830_translated,-0.26
414,20,414_seawater_byproduct_graphene_prosperity,-0.26
415,20,415_venice_flooded_council_mic,-0.06
416,19,416_cathmckenna_practice_goodlifefitness_bluewillowps,0.59
417,19,417_sandy5_sandy_nycmayor_28,-0.44
418,19,418_diabetes_aade_webmd_risk,0.15
419,19,419_10km3x2_m3gps_spatialthink_k12,0.29
420,19,420_indice_qualit_qualitedelair_atmo,-0.17
421,19,421_skylines_ich_habe_hinzugefgt,-0.59
422,19,422_pray_prayers_thoughts_cast,-0.18
423,19,423_jamaica_mexico_cide_goj,0.02
424,19,424_climate2020_revier_senator_stephan,-0.38
425,19,425_strike_climatestrike_strikewithus_cranbrook,0.09
426,19,426_votersuppression_racism_headass_voter,0.08
427,19,427_globalcooling_grandsolarminimum_breakingnews_edn,-0.39
428,19,428_dupdeal_lgbt_womens_rights,0.32
429,19,429_resilience_communityresilience_crescent_federation,-0.09
430,18,430_cities_peak_peaked_c40,-0.52
431,18,431_pretext_leveling_chemtrails_aerosols,-0.27
432,18,432_skylines_twitch_cities_consoles,-0.56
433,18,433_postdoc_remotesensing_asu_postdoctoral,-0.04
434,18,434_lichen_150lichen_museumofnature_bioblitz150,-0.41
435,18,435_philippines_philippine_filipino_typhoon,0.76
436,18,436_scooters_scooter_moped_rides,0.2
437,18,437_bombay_visibility_mumbai_humidity,-0.32
438,18,438_dougstruck_nstokesvic_richardamuller_age,0.33
439,18,439_deduction_deductions_losses_wildfires,-0.42
440,18,440_hydrogen_germany_powered_cell,-0.42
441,17,441_lyft_uber_420x_bye,-0.23
442,17,442_calories_agricultures_farmland_83,-0.03
443,17,443_swedish_parliament_15_old,0.05
444,17,444_mcdonalds_mcdonald_bizzwriter_stunning,-0.4
445,17,445_bamboo_prosumer_naturally_occurring,0.02
446,17,446_cities_worldhabitatday_city_walkability,0.06
447,17,447_tan123_cooler_snowmageddons_terrarium,0.02
448,17,448_epa_reconsideration_wehrum_standards,-0.19
449,17,449_potent_panels_nf3_solar,-0.26
450,17,450_muir_john_climateaction_nature,0.1
451,17,451_digital_transformation_computerworld_digitaltransformation,-0.22
452,17,452_cop21_calculator_completed_calculate,-0.37
453,17,453_architects_architecture_potentialand_responsibilityto,-0.23
454,17,454_auction_lurches_allowances_consecutive,-0.55
455,17,455_billionaires_climateaction_wpuld_mikemason,-0.17
456,17,456_commuting_car_apartment_guiltyaf,0.55
457,17,457_poels_marijn_storch_hans,-0.61
458,17,458_hinge_solving_order_experts,-0.5
459,17,459_nirenberg_bloomberg_ron_mayor,0.19
460,16,460_baby_famine_through_been,0.3
461,16,461_butttt_blames_38pm_zeitgeist,-0.39
462,16,462_edna_dna_barcoding_aquatic,0.5
463,16,463_cawaterfix_cawater_deliveries_h2o,-0.22
464,16,464_disabled_disability_bodied_discriminatory,-0.68
465,16,465_hothouse_temperature_degrees_fahrenheit,0.36
466,16,466_clearance_resigned_marijuana_special,-0.19
467,16,467_wipeout_debt_godslaves_zombies,0.2
468,16,468_alley_cancer_louisiana_breathes,-0.35
469,16,469_uber_mit_median_lyft,-0.04
470,16,470_utensils_straws_initiative_packages,0.18
471,16,471_rose_reasons_top_are,0.05
472,16,472_vietnam_viet_nam_ascending,-0.19
473,16,473_iberdrola_renewable_re100_boilers,-0.01
474,16,474_microsoft_microsofts_msftnews_pt,-0.26
475,16,475_amazon_employees_company_vice,0.21
476,16,476_nobel_prize_nobelprize_peace,-0.36
477,16,477_womeninbusiness_womenintech_egypt_homeschooling,0.19
478,16,478_gold_standard_certainty_evidence,-0.01
479,16,479_rice_staple_methane_infact,0.02
480,16,480_islam_muslims_islamic_radicalised,-0.57
481,16,481_awash_oil_maximal_easing,0.15
482,15,482_aide_final_experience_campaign,0.17
483,15,483_manmade_empirical_theories_johnhyphen,-0.12
484,15,484_thunderstorm_prepared_severe_four,-0.03
485,15,485_tiny_minimalism_tinyhouse_builders,-0.39
486,15,486_humanitarian_armed_conflict_intersos,-0.38
487,15,487_local_shoplocal_smallbusinesssaturday_shop,0.31
488,15,488_dusty_lungs_feeling_near,-0.42
489,15,489_externalities_static_externality_price,-0.03
490,15,490_wildlife_corridors_publiclands_keepitwild,-0.61
491,15,491_unnecessary_waters_harmful_eliminating,0.17
492,15,492_award_comerica_leadership_awards,0.41
493,15,493_council_recommendation_city_meeting,-0.62
494,15,494_latino_voters_daria_lohman,0.45
495,15,495_leadership_akgov_alaska_minneapolis,-0.03
496,15,496_indice_clermont_ferrand_qualitedelair,0.45
497,15,497_illegal_trafficking_wildlife_trade,0.08
498,15,498_roundtree_stephan_jr_advocacy,-0.56
499,15,499_dragonfly_73views_dragonflies_damselfly,-0.02
500,15,500_fuseschool_15000_fragment_investigate,-0.46
501,15,501_poll_treaties_favor_68,0.04
502,14,502_motherfucking_vibe_bitch_drink,0.12
503,14,503_rewrite_midsize_covert_finalized,-0.51
504,14,504_revive_150_ancient_techniques,-0.59
505,14,505_vintage_looked_regulated_reveal,-0.5
506,14,506_fxbg_harley_xtrm_realestate,0.17
507,14,507_slandering_fascism_racism_imperialism,-0.66
508,14,508_trucks_truck_loophole_standards,0.2
509,14,509_unsafe_uncouple_deregulation_extreme,-0.53
510,14,510_waffle_wafflehouse_index_house,0.07
511,14,511_ranunculus_bulbosus_allium_sphaerocephalum,-0.29
512,14,512_snail_allied_photography_zoology,0.08
513,14,513_expiate_consumerism_alter_trajectory,0.46
514,14,514_iran_regime_iranian_defenseless,-0.23
515,14,515_standwithreality_require_pol_adaptation,-0.36
516,14,516_shortfilms_stopmotionanimation_shortfilm_stopmotion,-0.22
517,14,517_transparency_studies_patient_privacy,0.08
518,14,518_cooper_roy_nc_carolina,-0.51
519,14,519_nepal_nepali_nearest_unga,0.39
520,14,520_3d_hp_3dprinting_printing,-0.43
521,14,521_diet_plant_based_mikecarrato,0.55
522,14,522_wetlands_worldwetlandsday_ramsarconv_2feb,-0.26
523,13,523_tibet_flawed_fragile_danger,0.68
524,13,524_funneling_disaster_relief_aid,-0.57
